variable_name,event_definition,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_rounding_issue,code_issue_dot,code
B_SICKLECELL_COV,Sickle cell disease,ICD10,Double heterozygous sickling disorders,"","",narrow,B,SICKLECELL,COV,D57.2,D57.2,D57.2
B_SICKLECELL_COV,Sickle cell disease,ICD10,Other sickle-cell disorders,"","",narrow,B,SICKLECELL,COV,D57.8,D57.8,D57.8
B_SICKLECELL_COV,Sickle cell disease,ICD10,Sickle-cell anaemia with crisis,"","",narrow,B,SICKLECELL,COV,D57.0,D57.0,D57.0
B_SICKLECELL_COV,Sickle cell disease,ICD10,Sickle-cell anaemia without crisis,"","",narrow,B,SICKLECELL,COV,D57.01,D57.01,D57.01
B_SICKLECELL_COV,Sickle cell disease,ICD10,Sickle-cell disorders,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,D57,D57,D57
B_SICKLECELL_COV,Sickle cell disease,ICD10,Sickle-cell trait,"","",narrow,B,SICKLECELL,COV,D57.3,D57.3,D57.3
B_SICKLECELL_COV,Sickle cell disease,ICD10CM, Hb-SS disease with cerebral vascular involvement,"","",narrow,B,SICKLECELL,COV,D57.03,D57.03,D57.03
B_SICKLECELL_COV,Sickle cell disease,ICD10CM, Hb-SS disease with splenic sequestration,"","",narrow,B,SICKLECELL,COV,D57.02,D57.02,D57.02
B_SICKLECELL_COV,Sickle cell disease,ICD10CM, Other sickle-cell disorders with crisis,"","",narrow,B,SICKLECELL,COV,D57.81,D57.81,D57.81
B_SICKLECELL_COV,Sickle cell disease,ICD10CM, Sickle-cell thalassemia beta plus with acute chest syndrome,"","",narrow,B,SICKLECELL,COV,D57.45,D57.45,D57.45
B_SICKLECELL_COV,Sickle cell disease,ICD10CM, Sickle-cell thalassemia beta plus with crisis,"","",narrow,B,SICKLECELL,COV,D57.45,D57.45,D57.45
B_SICKLECELL_COV,Sickle cell disease,ICD10CM, Sickle-cell thalassemia beta plus with splenic sequestration,"","",narrow,B,SICKLECELL,COV,D57.45,D57.45,D57.45
B_SICKLECELL_COV,Sickle cell disease,ICD10CM, Sickle-cell thalassemia beta zero with acute chest syndrome,"","",narrow,B,SICKLECELL,COV,D57.43,D57.43,D57.43
B_SICKLECELL_COV,Sickle cell disease,ICD10CM, Sickle-cell thalassemia beta zero with crisis,"","",narrow,B,SICKLECELL,COV,D57.43,D57.43,D57.43
B_SICKLECELL_COV,Sickle cell disease,ICD10CM, Sickle-cell thalassemia beta zero with splenic sequestration,"","",narrow,B,SICKLECELL,COV,D57.43,D57.43,D57.43
B_SICKLECELL_COV,Sickle cell disease,ICD10CM, Sickle-cell thalassemia- unspecified- with acute chest syndrome,"","",narrow,B,SICKLECELL,COV,D57.41,D57.41,D57.41
B_SICKLECELL_COV,Sickle cell disease,ICD10CM, Sickle-cell thalassemia- unspecified- with cerebral vascular invovmnet,"","",narrow,B,SICKLECELL,COV,D57.41,D57.41,D57.41
B_SICKLECELL_COV,Sickle cell disease,ICD10CM, Sickle-cell thalassemia- unspecified- with crisis,"","",narrow,B,SICKLECELL,COV,D57.41,D57.41,D57.41
B_SICKLECELL_COV,Sickle cell disease,ICD10CM, Sickle-cell-Hb-C disease with cerebral vascular involvement,"","",narrow,B,SICKLECELL,COV,D57.21,D57.21,D57.21
B_SICKLECELL_COV,Sickle cell disease,ICD10CM, Sickle-cell-Hb-C disease with crisis,"","",narrow,B,SICKLECELL,COV,D57.21,D57.21,D57.21
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Hb-SS disease with acute chest syndrome,"","",narrow,B,SICKLECELL,COV,D57.01,D57.01,D57.01
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Hb-SS disease with crisis,"","",narrow,B,SICKLECELL,COV,D57.0�,D57.0�,D57.0�
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Other sickle-cell disorders,"","",narrow,B,SICKLECELL,COV,D57.8�,D57.8�,D57.8�
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Other sickle-cell disorders with acute chest syndrome,"","",narrow,B,SICKLECELL,COV,D57.81,D57.81,D57.81
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Other sickle-cell disorders with cerebral vascular involvement,"","",narrow,B,SICKLECELL,COV,D57.81,D57.81,D57.81
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Other sickle-cell disorders with splenic sequestration,"","",narrow,B,SICKLECELL,COV,D57.81,D57.81,D57.81
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Sickle-cell disease without crisis,"","",narrow,B,SICKLECELL,COV,D57.1�,D57.1�,D57.1�
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Sickle-cell disorders,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,D57,D57,D57
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Sickle-cell thalassemia,"","",narrow,B,SICKLECELL,COV,D57.4�,D57.4�,D57.4�
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Sickle-cell thalassemia beta plus with cerebral vascular involvemet,"","",narrow,B,SICKLECELL,COV,D57.45,D57.45,D57.45
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Sickle-cell thalassemia beta zero with cerebral vascular involvement,"","",narrow,B,SICKLECELL,COV,D57.43,D57.43,D57.43
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Sickle-cell thalassemia- unspecified- with splenic sequestration,"","",narrow,B,SICKLECELL,COV,D57.41,D57.41,D57.41
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Sickle-cell trait,"","",narrow,B,SICKLECELL,COV,D57.3�,D57.3�,D57.3�
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Sickle-cell-Hb-C disease,"","",narrow,B,SICKLECELL,COV,D57.2�,D57.2�,D57.2�
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,Sickle-cell-Hb-C disease with splenic sequestration,"","",narrow,B,SICKLECELL,COV,D57.21,D57.21,D57.21
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,sickle-cell disorders,"","",narrow,B,SICKLECELL,COV,D57,D57,D57
B_SICKLECELL_COV,Sickle cell disease,ICD10CM,sickle-cell-Hb-C disease with acute chest syndrome,"","",narrow,B,SICKLECELL,COV,D57.21,D57.21,D57.21
B_SICKLECELL_COV,Sickle cell disease,ICD9CM, Hb-SS disease with crisis�,"","",narrow,B,SICKLECELL,COV,282.62,282.62,282.62
B_SICKLECELL_COV,Sickle cell disease,ICD9CM, Hb-SS disease without crisis�,"","",narrow,B,SICKLECELL,COV,282.61,282.61,282.61
B_SICKLECELL_COV,Sickle cell disease,ICD9CM, Other sickle-cell disease with crisis�,"","",narrow,B,SICKLECELL,COV,282.69,282.69,282.69
B_SICKLECELL_COV,Sickle cell disease,ICD9CM, Other sickle-cell disease without crisis,"","",narrow,B,SICKLECELL,COV,282.68,282.68,282.68
B_SICKLECELL_COV,Sickle cell disease,ICD9CM, Sickle-cell disease- unspecified�,"","",narrow,B,SICKLECELL,COV,282.60,282.60,282.60
B_SICKLECELL_COV,Sickle cell disease,ICD9CM, Sickle-cell thalassemia with crisis�,"","",narrow,B,SICKLECELL,COV,282.42,282.42,282.42
B_SICKLECELL_COV,Sickle cell disease,ICD9CM, Sickle-cell thalassemia without crisis�,"","",narrow,B,SICKLECELL,COV,282.41,282.41,282.41
B_SICKLECELL_COV,Sickle cell disease,ICD9CM, Sickle-cell-Hb-C disease with crisis�,"","",narrow,B,SICKLECELL,COV,282.64,282.64,282.64
B_SICKLECELL_COV,Sickle cell disease,ICD9CM, Sickle-cell-Hb-C disease without crisis�,"","",narrow,B,SICKLECELL,COV,282.63,282.63,282.63
B_SICKLECELL_COV,Sickle cell disease,ICD9CM,Sickle-cell disease,"","",narrow,B,SICKLECELL,COV,282.60000000000002,282.60000000000002,282.60000000000002
B_SICKLECELL_COV,Sickle cell disease,ICD9CM,Sickle-cell disease,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,282.6,282.6,282.6
B_SICKLECELL_COV,Sickle cell disease,ICD9CM,Sickle-cell trait�,"","",narrow,B,SICKLECELL,COV,282.5�,282.5�,282.5�
B_SICKLECELL_COV,Sickle cell disease,ICPC2P,Anaemia-sickle cell,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,B78,B78,B78
B_SICKLECELL_COV,Sickle cell disease,ICPC2P,Anaemia-sickle cell,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,B78002,B78002,B78002
B_SICKLECELL_COV,Sickle cell disease,MEDCODEID,AS - Sickle cell trait,"","",narrow,B,SICKLECELL,COV,2760081000006117,2760081000006117,2760081000006117
B_SICKLECELL_COV,Sickle cell disease,MEDCODEID,H-O- sickle cell disease,"","",narrow,B,SICKLECELL,COV,940531000006110,940531000006110,940531000006110
